what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.update.core,3.2.402.R36x_v20100629,"org.eclipse.update.core",1360944721344
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1360944721344
started,bundle,com.altera.sbtgui.integration,12.0.0.178,"com.altera.sbtgui.integration",1360944721344
started,bundle,com.altera.sbtgui.project,12.0.0.178,"com.altera.sbtgui.project",1360944721344
started,bundle,com.altera.systemconsole,12.0.0.178,"com.altera.systemconsole",1360944721344
started,bundle,com.altera.systemconsole.designs.plugin,12.0.0.178,"com.altera.systemconsole.designs.plugin",1360944721344
started,bundle,com.altera.systemconsole.scripting,12.0.0.178,"com.altera.systemconsole.scripting",1360944721344
started,bundle,com.altera.utilities,12.0.0.178,"com.altera.utilities",1360944721344
os,sysinfo,,,"win32",1360944721344
arch,sysinfo,,,"x86",1360944721344
ws,sysinfo,,,"win32",1360944721344
locale,sysinfo,,,"en_SG",1360944721344
processors,sysinfo,,,"8",1360944721344
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1360944721344
java.runtime.version,sysinfo,,,"1.6.0_23-b05",1360944721344
java.specification.name,sysinfo,,,"Java Platform API Specification",1360944721344
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1360944721344
java.specification.version,sysinfo,,,"1.6",1360944721344
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1360944721344
java.version,sysinfo,,,"1.6.0_23",1360944721344
java.vm.info,sysinfo,,,"mixed mode",1360944721344
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1360944721344
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1360944721344
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1360944721344
java.vm.specification.version,sysinfo,,,"1.0",1360944721344
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1360944721344
java.vm.version,sysinfo,,,"19.0-b09",1360944721344
started,bundle,com.altera.sbtgui.launch,12.0.0.178,"com.altera.sbtgui.launch",1360944721414
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1360944723114
started,bundle,com.altera.sbtgui.core,12.0.0.178,"com.altera.sbtgui.core",1360944723344
started,bundle,org.eclipse.compare,3.5.100.I20100526-0800,"org.eclipse.compare",1360944723564
started,bundle,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui",1360944724794
started,bundle,org.eclipse.cdt.debug.core,7.0.0.201009141542,"org.eclipse.cdt.debug.core",1360944724844
started,bundle,org.eclipse.cdt.debug.ui,7.0.0.201009141542,"org.eclipse.cdt.debug.ui",1360944724844
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1360944764486
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1360944770656
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1360944773006
started,bundle,org.eclipse.cdt.launch,6.1.0.201009141542,"org.eclipse.cdt.launch",1360944773026
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1360944778476
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1360944796547
started,bundle,org.eclipse.cdt.dsf.gdb.ui,2.1.0.201009141542,"org.eclipse.cdt.dsf.gdb.ui",1360944801157
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1360944801177
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1360944810038
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1360944815368
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1360944842219
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1360944843609
started,bundle,org.eclipse.cdt.dsf,2.1.0.201009141542,"org.eclipse.cdt.dsf",1360944849279
started,bundle,org.eclipse.cdt.dsf.gdb,3.0.0.201009141542,"org.eclipse.cdt.dsf.gdb",1360944849279
opened,view,com.altera.sbtgui.launch,12.0.0.178,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1360944851839
started,bundle,org.eclipse.cdt.debug.mi.ui,6.1.0.201009141542,"org.eclipse.cdt.debug.mi.ui",1360944852209
started,bundle,org.eclipse.cdt.debug.mi.core,7.0.1.201009141542,"org.eclipse.cdt.debug.mi.core",1360944852219
activated,view,com.altera.sbtgui.launch,12.0.0.178,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1360944893425
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1360944894635
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1360944988050
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1360945029969
activated,view,com.altera.sbtgui.launch,12.0.0.178,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1360945032169
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1360945301899
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1360945455247
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1360945456407
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1360945825622
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1360945825638
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1360945828849
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1360946197099
started,bundle,org.eclipse.cdt.mylyn.ui,1.1.3.v20100909-0100-e3x,"org.eclipse.cdt.mylyn.ui",1360946197284
closed,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1360946197391
stopped,bundle,org.eclipse.cdt.debug.mi.ui,6.1.0.201009141542,"org.eclipse.cdt.debug.mi.ui",1360946198039
stopped,bundle,com.altera.debug.cdi.gdb.plugin,12.0.0.178,"com.altera.debug.cdi.gdb.plugin",1360946198040
stopped,bundle,com.altera.sbtgui.launch,12.0.0.178,"com.altera.sbtgui.launch",1360946199040
stopped,bundle,org.eclipse.cdt.debug.mi.core,7.0.1.201009141542,"org.eclipse.cdt.debug.mi.core",1360946199040
stopped,bundle,org.eclipse.cdt.debug.ui.memory.memorybrowser,1.2.0.201009141542,"org.eclipse.cdt.debug.ui.memory.memorybrowser",1360946199041
stopped,bundle,org.eclipse.cdt.debug.ui.memory.search,1.2.0.201009141542,"org.eclipse.cdt.debug.ui.memory.search",1360946199042
stopped,bundle,org.eclipse.cdt.dsf.gdb.ui,2.1.0.201009141542,"org.eclipse.cdt.dsf.gdb.ui",1360946199042
stopped,bundle,org.eclipse.cdt.dsf.ui,2.1.1.201009141542,"org.eclipse.cdt.dsf.ui",1360946199044
stopped,bundle,org.eclipse.cdt.gdb.ui,7.0.0.201009141542,"org.eclipse.cdt.gdb.ui",1360946199045
stopped,bundle,org.eclipse.cdt.dsf.gdb,3.0.0.201009141542,"org.eclipse.cdt.dsf.gdb",1360946199045
stopped,bundle,com.altera.sbtgui.ui,12.0.0.178,"com.altera.sbtgui.ui",1360946199046
stopped,bundle,com.altera.sbtgui.project,12.0.0.178,"com.altera.sbtgui.project",1360946199046
stopped,bundle,org.eclipse.cdt.launch,6.1.0.201009141542,"org.eclipse.cdt.launch",1360946199046
stopped,bundle,org.eclipse.cdt.debug.ui,7.0.0.201009141542,"org.eclipse.cdt.debug.ui",1360946199046
stopped,bundle,org.eclipse.cdt.debug.ui.memory.traditional,1.2.0.201009141542,"org.eclipse.cdt.debug.ui.memory.traditional",1360946199047
stopped,bundle,org.eclipse.cdt.dsf,2.1.0.201009141542,"org.eclipse.cdt.dsf",1360946199048
stopped,bundle,org.eclipse.cdt.debug.core,7.0.0.201009141542,"org.eclipse.cdt.debug.core",1360946199048
stopped,bundle,org.eclipse.cdt.managedbuilder.ui,7.0.0.201009141542,"org.eclipse.cdt.managedbuilder.ui",1360946199050
stopped,bundle,org.eclipse.cdt.make.ui,7.0.0.201009141542,"org.eclipse.cdt.make.ui",1360946199050
stopped,bundle,org.eclipse.cdt.managedbuilder.gnu.ui,7.0.0.201009141542,"org.eclipse.cdt.managedbuilder.gnu.ui",1360946199050
stopped,bundle,org.eclipse.cdt.managedbuilder.core,7.0.1.201009141542,"org.eclipse.cdt.managedbuilder.core",1360946199050
stopped,bundle,org.eclipse.cdt.make.core,7.0.0.201009141542,"org.eclipse.cdt.make.core",1360946199050
stopped,bundle,org.eclipse.cdt.mylyn.ui,1.1.3.v20100909-0100-e3x,"org.eclipse.cdt.mylyn.ui",1360946199050
stopped,bundle,com.altera.sbtgui.flash.plugin,12.0.0.178,"com.altera.sbtgui.flash.plugin",1360946199051
stopped,bundle,com.altera.sbtgui.gprof,12.0.0.178,"com.altera.sbtgui.gprof",1360946199052
stopped,bundle,com.altera.sbtgui.core,12.0.0.178,"com.altera.sbtgui.core",1360946199052
