what,kind,bundleId,bundleVersion,description,time
java.vm.specification.version,sysinfo,,,"1.0",1361103517161
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1361103517161
java.vm.version,sysinfo,,,"19.0-b09",1361103517161
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1361103517672
started,bundle,com.altera.sbtgui.core,12.0.0.178,"com.altera.sbtgui.core",1361103517878
started,bundle,org.eclipse.compare,3.5.100.I20100526-0800,"org.eclipse.compare",1361103518110
started,bundle,org.eclipse.cdt.dsf.gdb.ui,2.1.0.201009141542,"org.eclipse.cdt.dsf.gdb.ui",1361103520922
started,bundle,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui",1361103520967
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1361103520990
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1361103533026
started,bundle,org.eclipse.cdt.debug.core,7.0.0.201009141542,"org.eclipse.cdt.debug.core",1361103542504
started,bundle,org.eclipse.cdt.debug.ui,7.0.0.201009141542,"org.eclipse.cdt.debug.ui",1361103542508
started,bundle,org.eclipse.cdt.launch,6.1.0.201009141542,"org.eclipse.cdt.launch",1361103543982
started,bundle,com.altera.debug.cdi.gdb.plugin,12.0.0.178,"com.altera.debug.cdi.gdb.plugin",1361103548486
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1361103548699
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1361103561549
started,bundle,org.eclipse.cdt.mylyn.ui,1.1.3.v20100909-0100-e3x,"org.eclipse.cdt.mylyn.ui",1361103562064
closed,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1361103562116
stopped,bundle,org.eclipse.cdt.debug.mi.ui,6.1.0.201009141542,"org.eclipse.cdt.debug.mi.ui",1361103562571
stopped,bundle,com.altera.debug.cdi.gdb.plugin,12.0.0.178,"com.altera.debug.cdi.gdb.plugin",1361103562571
stopped,bundle,com.altera.sbtgui.launch,12.0.0.178,"com.altera.sbtgui.launch",1361103562571
stopped,bundle,org.eclipse.cdt.debug.mi.core,7.0.1.201009141542,"org.eclipse.cdt.debug.mi.core",1361103562572
stopped,bundle,org.eclipse.cdt.debug.ui.memory.memorybrowser,1.2.0.201009141542,"org.eclipse.cdt.debug.ui.memory.memorybrowser",1361103562572
